name,name group,lowlevel.spectral_centroid.mean,lowlevel.spectral_centroid.max,lowlevel.spectral_centroid.min,lowlevel.spectral_centroid.stdev,lowlevel.spectral_flux.max,lowlevel.spectral_flux.mean,lowlevel.spectral_flux.min,lowlevel.spectral_flux.stdev,lowlevel.spectral_rms.max,lowlevel.spectral_rms.mean,lowlevel.spectral_rms.min,lowlevel.spectral_rms.stdev,lowlevel.spectral_spread.max,lowlevel.spectral_spread.mean,lowlevel.spectral_spread.min,lowlevel.spectral_spread.stdev,lowlevel.zerocrossingrate.max,lowlevel.zerocrossingrate.mean,lowlevel.zerocrossingrate.min,lowlevel.zerocrossingrate.stdev,lowlevel.barkbands_flatness_db.max,lowlevel.barkbands_flatness_db.mean,lowlevel.barkbands_flatness_db.min,lowlevel.barkbands_flatness_db.stdev,lowlevel.erbbands_flatness_db.max,lowlevel.erbbands_flatness_db.mean,lowlevel.erbbands_flatness_db.min,lowlevel.erbbands_flatness_db.stdev,lowlevel.melbands_flatness_db.max,lowlevel.melbands_flatness_db.mean,lowlevel.melbands_flatness_db.stdev,lowlevel.melbands_flatness_db.min,centroid,effectiveduration,logattacktime.logpoint1,logattacktime.logpoint2,logattacktime.logpoint3,logattacktime.decimalpoint1,logattacktime.decimalpoint2,logattacktime.decimalpoint3,
acco_gref_mg_qu_mf_sol2_12,string,1132.3074951171875,2205.945556640625,161.154541015625,280.90966796875,0.06935899704694748,0.014083471149206161,0.0011500059626996517,0.010000677779316902,0.007149752229452133,0.003782412735745311,5.36668230779469e-05,0.0029474333859980106,12198494.0,4681917.0,2113618.0,2149313.75,0.07421875,0.032875001430511475,0.0,0.019168978556990623,0.5503720641136169,0.24350684881210327,0.10154708474874496,0.10762648284435272,0.3257419168949127,0.18220725655555725,0.041590407490730286,0.07663717865943909,0.5894171595573425,0.29844793677330017,0.11660896241664886,0.1418170928955078,0.4206210970878601,4.387641906738281,-0.5948717594146729,0.16208617389202118,0.4162585139274597,0.25417231271077684,1.452399778111299,2.6077053255239115,
acco_gref_mg_qu_mf_sol3_12,string,1238.8927001953125,1917.9085693359375,402.2296447753906,251.580810546875,0.08989769220352173,0.023218553513288498,0.0022210017777979374,0.016776736825704575,0.007121749222278595,0.004407355096191168,1.8432340311846929e-06,0.0022812995593994856,23126248.0,4242952.5,2265670.5,2242325.0,0.07421875,0.041693203151226044,0.0,0.024406231939792633,0.6711353063583374,0.3373662233352661,0.07628084719181061,0.11237400770187378,0.3635452389717102,0.23062098026275635,0.047995470464229584,0.08110953867435455,0.6884730458259583,0.3722829222679138,0.10695233196020126,0.17945246398448944,0.49136292934417725,5.603061199188232,0.267533540725708,0.20326530933380127,2.054807186126709,1.8515418839576945,1.5968543633742365,113.45070163670684,
acco_gref_mg_qu_mf_sol4_12,string,1420.4527587890625,2336.9443359375,425.1484680175781,357.0746765136719,0.09511025995016098,0.026067696511745453,0.0020373226143419743,0.020115159451961517,0.006664223037660122,0.0037137987092137337,4.241190254106186e-05,0.0021338416263461113,13311014.0,4351685.5,1962628.625,2430041.25,0.0986328125,0.04251967370510101,0.0,0.02926202304661274,0.6453295946121216,0.4216526746749878,0.15517261624336243,0.06744039803743362,0.4393943250179291,0.2986909747123718,0.040656741708517075,0.1521916538476944,0.6797163486480713,0.4510859251022339,0.06580225378274918,0.25776806473731995,0.4558091461658478,4.958072662353516,0.24977774918079376,0.1259637176990509,1.903333306312561,1.7773696058366237,1.336483857897404,80.04483363338939,
acco_gref_mg_qu_mf_sol5_1,string,2065.5263671875,3382.514404296875,522.8785400390625,703.4696655273438,0.10141310095787048,0.036569781601428986,0.006599062588065863,0.019583774730563164,0.006681450176984072,0.003978865686804056,2.2460233140009223e-06,0.0017543770372867584,17500832.0,4592956.0,2493313.5,2554466.25,0.134765625,0.053137827664613724,0.0,0.03649444133043289,0.5204862356185913,0.3726208806037903,0.10310324281454086,0.05059484764933586,0.4217416048049927,0.28028619289398193,0.03741993382573128,0.15288996696472168,0.5380752682685852,0.42385634779930115,0.0453934520483017,0.20880180597305298,0.47388920187950134,4.873854637145996,0.4144427478313446,0.04476190358400345,2.641587257385254,2.596825384565344,1.108566890961454,438.1141271471224,
acco_gref_mg_se_mf_sol0_12,string,659.7665405273438,1915.57470703125,364.55450439453125,291.9596862792969,0.07303192466497421,0.029297150671482086,0.0034653504844754934,0.01358794141560793,0.008262045681476593,0.004514901898801327,0.00018104659102391452,0.0031852282118052244,15711551.0,3564006.75,956257.9375,2944961.5,0.033203125,0.01850237138569355,0.0,0.00712209427729249,0.5000666975975037,0.27585887908935547,0.12443158775568008,0.07293719798326492,0.32459479570388794,0.21061237156391144,0.040826719254255295,0.10537606477737427,0.578917920589447,0.3732146918773651,0.06349466741085052,0.23794546723365784,0.4692815840244293,5.011768817901611,0.24145947396755219,0.32344672083854675,2.0670974254608154,1.7436506417453084,2.10594352640622,116.70713973066648,
acco_gref_mg_se_mf_sol1_12,string,1007.847412109375,1978.236083984375,396.7294921875,202.80731201171875,0.0831119641661644,0.016773639246821404,0.0011940911645069718,0.01326392125338316,0.007722316309809685,0.004578641150146723,1.0831249710463453e-06,0.003042032942175865,13077000.0,3929335.5,1242321.75,2205749.0,0.0498046875,0.028673894703388214,0.0,0.01426208857446909,0.6169862747192383,0.22009097039699554,0.12127465754747391,0.1150374487042427,0.29893821477890015,0.1875178962945938,0.042189668864011765,0.07317283749580383,0.6206628680229187,0.27453574538230896,0.11627381294965744,0.1813332885503769,0.429409921169281,5.428662300109863,-0.5915139317512512,0.10489796102046967,0.3610430955886841,0.256145109387084,1.2732039022435393,2.2963765091413215,
acco_gref_mg_se_mf_sol2_12,string,1075.8916015625,2052.193359375,419.2332458496094,223.22500610351562,0.09208599478006363,0.013566412962973118,0.0018048958154395223,0.009701687842607498,0.0069648795761168,0.0043159653432667255,7.77515015215613e-06,0.0028699305839836597,18168980.0,3987256.25,1933048.875,2406504.5,0.05908203125,0.03451251611113548,0.0,0.015535655431449413,0.5058910846710205,0.23101390898227692,0.09675303101539612,0.08025185763835907,0.29570436477661133,0.2046469897031784,0.03932734578847885,0.08478235453367233,0.5383825302124023,0.28743216395378113,0.08594202250242233,0.19594532251358032,0.46930137276649475,4.802018165588379,0.04183116927742958,0.18498866260051727,1.2860997915267944,1.1011111725476541,1.531047492664817,19.32412292770172,
acco_gref_mg_se_mf_sol3_12,string,769.2656860351562,1699.7921142578125,209.5639190673828,218.58111572265625,0.0585210956633091,0.012605786323547363,0.0016723113367334008,0.007421204820275307,0.007169153541326523,0.004298007115721703,8.672603871673346e-05,0.002919444814324379,25824418.0,4171806.25,1613867.875,2683506.25,0.06005859375,0.022279147058725357,0.0,0.012515307404100895,0.5581484436988831,0.35533249378204346,0.16084904968738556,0.05662055313587189,0.3855685591697693,0.24603043496608734,0.03995427116751671,0.10275585949420929,0.6138889789581299,0.4116603434085846,0.07062605023384094,0.2776259481906891,0.4391973614692688,5.976304054260254,0.024021906778216362,0.14356009662151337,1.2004308700561523,1.056870818780484,1.39174636802157,15.86466368977479,
acco_gref_mg_se_mf_sol4_12,string,1265.672607421875,2371.90087890625,415.0682067871094,355.32196044921875,0.07323834300041199,0.007682475261390209,0.0013738061534240842,0.006848812568932772,0.006960545666515827,0.0036512822844088078,1.515330313850427e-05,0.002721310593187809,17033244.0,4308746.0,1524209.125,2529899.25,0.107421875,0.032097138464450836,0.0,0.021662099286913872,0.532576322555542,0.41452857851982117,0.1560472846031189,0.06379890441894531,0.474500447511673,0.32415467500686646,0.04309568926692009,0.16809481382369995,0.5834789276123047,0.4700362980365753,0.05566336587071419,0.25817543268203735,0.41048067808151245,4.23231315612793,-0.5270016193389893,0.13984127342700958,0.43700680136680603,0.2971654951409131,1.3798798519553044,2.735311562935703,
bsn_gref_mf_sol1_12,wind,554.3572998046875,1581.4476318359375,482.4872741699219,152.5556182861328,0.17774006724357605,0.003999485168606043,0.0003400954883545637,0.011025218293070793,0.00767643004655838,0.005029083229601383,6.509411377919605e-06,0.002759621012955904,13016502.0,1816783.5,339088.15625,2644108.25,0.0361328125,0.02090354450047016,0.0,0.005117865279316902,0.47883886098861694,0.42256098985671997,0.16177727282047272,0.06507206708192825,0.5203737020492554,0.42589619755744934,0.039087481796741486,0.15127910673618317,0.5962918400764465,0.5268665552139282,0.0686725303530693,0.26394417881965637,0.4534907341003418,6.312222003936768,-0.6133534908294678,0.13956916332244873,0.38315191864967346,0.24358273873230787,1.3790155498250984,2.4163059240150178,
